Restaurant,Cuisine,Neighborhood,Address,Latitude,Longitude
Sushi of Gari 46,Japanese / Sushi,"Times Square/Theatre District, New York, NY","347 W 46th St, New York, NY 10036, USA",40.7606826,-73.9896109
Bar Milano by Eataly,Italian,"Flatiron District, New York, NY","200 5th Ave, New York, NY 10010, USA",40.7419668,-73.9895296
The Shell Seafood Kitchen,Mediterranean,"Upper West Side, New York, NY","635 Amsterdam Ave, New York, NY 10025, USA",40.7906204,-73.9724608
Flava of the Bronx,Caribbean,"Woodstock, New York, NY","3114 Third Ave, Bronx, NY 10451, USA",40.8219522,-73.9114987
Ammos Estiatorio - Grand Central,Mediterranean,"Midtown East, New York, NY","52 Vanderbilt Ave, New York, NY 10017, USA",40.755008,-73.97815900000000
ABC Cocina,Latin American,"Union Square, New York, NY","38 E 19th St, New York, NY 10003, USA",40.7379868,-73.9892758
Veselka,Ukrainian,"East Village, New York, NY","144 2nd Ave, New York, NY 10003, USA",40.7289226,-73.98692850000000
Patrick's on the Hill,Caribbean,"Hamilton Heights, New York, NY","1627-1635 Amsterdam Ave, New York, NY 10031, USA",40.822384,-73.9494596
Felice 15 Gold Street,Italian,"Lower Manhattan, New York, NY","15 Gold St, New York, NY 10038, USA",40.7078815,-74.00712880000000
Stout NYC Financial District,American (Traditional),"Lower Manhattan, New York, NY","90 John St, New York, NY 10038, USA",40.7079836,-74.00648610000000
Cuna NYC,Mexican,"East Village, New York, NY","25 Cooper Sq, New York, NY 10003, USA",40.7278896,-73.9907987
Jade Eatery & Lounge,Asian Fusion,"Forest Hills, New York, NY","1 Station Square #2, Forest Hills, NY 11375, USA",40.7189633,-73.84519400000000
Brass & the Tusk Bar,American (New),"Nomad, New York, NY","7 E 27th St, New York, NY 10016, USA",40.7439642,-73.986983
Sei Less,Chinese,"Garment District, New York, NY","156 W 38th St, New York, NY 10018, USA",40.7532163,-73.9884491
Mark's Off Madison,Italian,"Nomad, New York, NY","41 Madison Ave Ground Level, New York, NY 10010, USA",40.7425604,-73.9864149
Benjamin Prime,Steakhouse,"Murray Hill, New York, NY","23 E 40th St, Between Madison &, Park Ave, New York, NY 10016, USA",40.7514456,-73.97964740000000
Havana Central,Cuban,"Times Square/Theatre District, New York, NY","151 W 46th St, New York, NY 10036, USA",40.7583262,-73.984105
Red Hook Lobster Pound,Seafood,"Red Hook, New York, NY","284 Van Brunt St, Brooklyn, NY 11231, USA",40.67985610000000,-74.0103683
Le Fleur Rouge,Chinese,"Park Slope, New York, NY","392 5th Ave, Brooklyn, NY 11215, USA",40.6708357,-73.9851862
Mito - Forest Hills,Japanese / Sushi,"Forest Hills, New York, NY","64-18 108th St, Forest Hills, NY 11375, USA",40.7323718,-73.8497752
Benoit Restaurant & Wine Bar,French,"Midtown West, New York, NY","60 W 55th St, New York, NY 10019, USA",40.7624865,-73.97734680000000
Manhatta,American (New),"Lower Manhattan, New York, NY","28 Liberty St 60th floor, New York, NY 10005, USA",40.7079257,-74.0089318
Lore,Eclectic,"South Slope, New York, NY","441 7th Ave, Brooklyn, NY 11215, USA",40.663082,-73.9844024
